id;name;description;id_parent;status
1;Table;open-source;Integration;Refined metrics e-commerce
2;Chief;XML Chips Kentucky;Steel transmitting Nevada;harness Georgia Hat
3;Program mesh;Designer array;Verde;Loan Music
4;Bedfordshire Investor;Front-line plug-and-play Versatile;Rustic Handcrafted JSON;Loan connecting systems
5;networks;Avon XML;invoice Sleek azure;feed Kids
6;Fresh;National;blue Chief;Nebraska
7;Tasty Shirt Central;Dominica XML;Armenian;Cambridgeshire
8;circuit;6th;UIC-Franc;Pennsylvania Unbranded
9;e-services;Granite frame Borders;hacking;methodologies Human protocol
10;Tasty;Intranet mint Supervisor;Account quantify Metal;Electronics Handmade application
