id;firebase;sheet_id;status;id_customer
1;e-business;Bedfordshire;fault-tolerant Specialist;17205
2;Cheese Auto Toys;Track yellow;PCI;28176
3;circuit Books mission-critical;system Fantastic mindshare;Fantastic;30193
4;HTTP Berkshire Forward;Village redefine Kỳ;Berkshire;28740
5;Representative;black;Kina;98686
6;Salad heuristic;withdrawal;pink navigating;10311
7;Dollar Table;parse Investment analyzing;Books seamless;22023
8;flexibility Borders invoice;collaborative e-commerce Fresh;Moldovan Tasty;80001
9;Gloves;Industrial;open-source;2536
10;black;Garden array Chips;Granite;26523
