id;name;code;id_category;org_price;type;status
1;Supervisor Berkshire;azure;22934;92381;cyan Hungary;Bedfordshire Tuna
2;Concrete killer;York Guinée proactive;26415;86612;portal Sausages;UAE Delaware
3;Shirt;purple back;82821;4930;program District;Suriname
4;frictionless;Wall;22868;45483;Sol Shirt out-of-the-box;Lead
5;Corporate;Generic IB York;46749;45253;ivory Paradigm;exuding Digitized Orchard
6;primary Configurable;grid-enabled;83389;14802;budgetary withdrawal Computers;Wisconsin
7;Loan Skyway;Distributed payment driver;35197;29843;EXE;Leone
8;Inlet Towels;Savings;6526;83451;Bike;Won Chips functionalities
9;application Cameroon;Proactive impactful Phased;17803;57746;withdrawal;azure Computers
10;Industrial blue Rial;Facilitator capacitor panel;61866;49178;card web-readiness Fantastic;Berkshire
