id;id_agent;id_item;price;status;id_config_app;paid
1;70460;64633;96331;Facilitator Auto Kansas;43364;true
2;84289;87584;21624;synergies;62308;true
3;7152;59604;85590;Egyptian Unbranded;56662;true
4;84602;63136;80864;invoice protocol;93996;false
5;93328;2748;269;user-centric compressing withdrawal;50843;false
6;80711;32574;1136;open-source auxiliary parsing;58034;true
7;18718;63113;37356;Croatia Louisiana Soft;18064;true
8;21538;71248;83426;copy Singapore Garden;60224;true
9;58865;16619;70764;Síp Beauty Awesome;49385;true
10;86214;98954;41889;productize;80539;false
