id;id_item;item_name;price;qty;total_price;id_vg_order;discount;id_item_agent
1;12024;deliver;24236;83101;60434;64013;33900;9169
2;46436;hacking;14207;41230;5079;55993;15279;60658
3;33243;program;73868;77797;52411;16606;27113;78920
4;97533;driver;21046;85412;68168;32027;93058;85435
5;89234;México Grocery Legacy;56129;8432;80266;1398;33715;63309
6;66694;virtual Money;33897;48305;19832;1103;59291;99124
7;28401;multi-byte Computer;88198;17472;63792;72098;33759;2027
8;88358;JBOD;92470;42968;95192;83956;38594;29919
9;74828;invoice International silver;41311;52586;30705;76189;76143;44408
10;34715;next array;99558;6231;21266;84753;38698;57933
