id;id_item_agent;price;created_date;note
1;68209;77867;2023-08-21T02:28:04;Planner
2;88854;14794;2023-08-20T17:05:28;SSL transmit empowering
3;47315;56607;2023-08-20T17:40:26;system Response transmit
4;25488;48508;2023-08-21T00:17:26;Avon Assistant Soft
5;98701;26345;2023-08-20T15:32:01;Mill intelligence
6;41464;26829;2023-08-20T18:14:41;Towels
7;79896;62676;2023-08-21T06:03:05;Denar
8;18175;77091;2023-08-21T03:11:23;Adaptive Associate
9;65170;549;2023-08-21T08:25:06;Program revolutionary
10;76946;58869;2023-08-20T23:49:34;Corners Checking Metal
