id;id_customer;order_type;paid;total_amount;created_date;id_partner;attributes
1;71008;Checking loyalty;true;16746;2023-08-20T15:58:07;63920;Soft schemas Cheese
2;55340;Intranet Assistant Metrics;true;1452;2023-08-21T04:05:40;55758;Grocery GB Azerbaijanian
3;58238;world-class;false;27039;2023-08-21T02:34:57;87696;middleware
4;19768;Rubber relationships feed;true;67756;2023-08-21T09:57:47;36955;policy vortals Unbranded
5;16869;RAM;true;86650;2023-08-21T10:39:15;69273;innovate
6;9874;engage Orchestrator Fish;true;23909;2023-08-20T18:01:17;73676;revolutionary
7;26630;Metal foreground;false;221;2023-08-20T23:52:01;95684;Tools JBOD
8;3167;Concrete;false;63917;2023-08-21T06:05:32;67766;Concrete
9;56824;salmon Chips Kids;true;10677;2023-08-20T19:03:44;44397;teal
10;59218;Account Loan;false;99597;2023-08-20T22:54:13;30323;invoice context-sensitive Savings
